iter	MAE
0	2.664897316
1	2.503093826
2	2.34342184
3	2.204346134
4	2.067328855
5	1.948779219
6	1.842046226
7	1.733969098
8	1.654245128
9	1.576531567
10	1.50576079
11	1.439281679
12	1.382665236
13	1.328504426
14	1.283703119
15	1.23466211
16	1.196350048
17	1.155771819
18	1.125105647
19	1.089541319
20	1.054139923
21	1.020349583
22	0.9873742369
23	0.9582821808
24	0.9305866303
25	0.907248475
26	0.8832581599
27	0.8630129999
28	0.8475211307
29	0.828706374
30	0.812231182
31	0.798958796
32	0.7849809007
33	0.772104235
34	0.7602181344
35	0.7507563501
36	0.7418123726
37	0.7317065523
38	0.7237610624
39	0.7167916414
40	0.7098533609
41	0.7031701114
42	0.6975321695
43	0.6909171318
44	0.6854391778
45	0.680652881
46	0.675373488
47	0.6710582447
48	0.666435743
49	0.6632949625
50	0.6600446317
51	0.6575823936
52	0.654019428
53	0.6513701406
54	0.6487957715
55	0.6465557705
56	0.6439107792
57	0.6418367955
58	0.6400404898
59	0.6380471498
60	0.6367677099
61	0.6350148799
62	0.6330177819
63	0.6315808272
64	0.6304522615
65	0.6290683956
66	0.6277798305
67	0.6267586265
68	0.6255874232
69	0.6250514777
70	0.6235194731
71	0.6227103171
72	0.6220800675
73	0.6207545595
74	0.6195386998
75	0.619016136
76	0.6181287833
77	0.6172403641
78	0.6155737969
79	0.6141527762
80	0.6130309622
81	0.610975468
82	0.6099152401
83	0.609162329
84	0.6081011917
85	0.6067358838
86	0.6059240083
87	0.6054802944
88	0.6046153237
89	0.6041847008
90	0.6033809755
91	0.602968722
92	0.6020389416
93	0.6016911866
94	0.600287501
95	0.5993403803
96	0.5989491508
97	0.5983784931
98	0.5973447495
99	0.596296275
100	0.5955115752
101	0.5944243266
102	0.5938233304
103	0.5933027404
104	0.592281201
105	0.5910821907
106	0.590198478
107	0.5892165768
108	0.588550533
109	0.5881199578
110	0.5867487461
111	0.5863202661
112	0.5857012286
113	0.5851581425
114	0.5844091324
115	0.5835705655
116	0.583025245
117	0.5823700038
118	0.5813960347
119	0.5802863033
120	0.5801213175
121	0.5798922618
122	0.5791595165
123	0.5786603425
124	0.5781062556
125	0.5775219578
126	0.5770730908
127	0.5767751086
128	0.5761295885
129	0.5758472156
130	0.5753866718
131	0.5747667208
132	0.5746432179
133	0.5742467707
134	0.5741227373
135	0.5737512548
136	0.5734207882
137	0.5727068912
138	0.5718989786
139	0.5711819563
140	0.5705955805
141	0.5699724806
142	0.5696909629
143	0.5690532985
144	0.5686583348
145	0.5685238433
146	0.5678562899
147	0.5672004892
148	0.566937122
149	0.5663417409
150	0.5659796045
151	0.5655570804
152	0.5648833269
153	0.5645403338
154	0.5644272286
155	0.5640301064
156	0.5637173152
157	0.5635789765
158	0.5627470438
159	0.5618336071
160	0.5614355858
161	0.5608586268
162	0.5604672047
163	0.559999719
164	0.5595335708
165	0.5591981625
166	0.5589175958
167	0.5584857956
168	0.5579277969
169	0.5574036165
170	0.5571648607
171	0.5569004701
172	0.5566901562
173	0.5565264987
174	0.5562937388
175	0.5560420444
176	0.5558958881
177	0.5553400057
178	0.5550382338
179	0.5546484643
180	0.5544016829
181	0.5543469173
182	0.553708395
183	0.5532952287
184	0.5525531963
185	0.5523347216
186	0.5521069808
187	0.5520309835
188	0.5518832072
189	0.5515667726
190	0.5512068226
191	0.5511404299
192	0.5509339439
193	0.5506152923
194	0.5504119037
195	0.5502595199
196	0.550080763
197	0.5499910494
198	0.5498904273
199	0.5496219128
200	0.5493877618
201	0.5492968455
202	0.5491231359
203	0.5488129996
204	0.5486654186
205	0.5483956125
206	0.548151584
207	0.5475935747
208	0.5473486178
209	0.5470483781
210	0.5468742459
211	0.5466151232
212	0.5461254078
213	0.5458000845
214	0.5456537654
215	0.5455255217
216	0.5453078751
217	0.5452170601
218	0.5450744979
219	0.5448266514
220	0.5444376384
221	0.5443021027
222	0.5440665242
223	0.5439260813
224	0.5438200104
225	0.5435749121
226	0.5434041328
227	0.5433637991
228	0.5431417079
229	0.5428839873
230	0.5427302089
231	0.5424988345
232	0.5424137113
233	0.5423170523
234	0.5422413166
235	0.542092578
236	0.5420283252
237	0.5419687871
238	0.5417764818
239	0.5416760359
240	0.5415635534
241	0.5413239051
242	0.5411308069
243	0.5408309137
244	0.5405750509
245	0.5404751214
246	0.5402454612
247	0.5399625433
248	0.5396503027
249	0.5393500673
250	0.5391108541
251	0.5389735259
252	0.5387783746
253	0.5386511209
254	0.5384422681
255	0.5381663775
256	0.5379763136
257	0.5378455046
258	0.5376969091
259	0.5374218151
260	0.5371280823
261	0.5370302482
262	0.5367754131
263	0.5366039125
264	0.5364908753
265	0.5363610904
266	0.5362145791
267	0.5359707624
268	0.5359002859
269	0.5357221478
270	0.535554884
271	0.5354872242
272	0.5352530506
273	0.5351620315
274	0.5350096116
275	0.5348923799
276	0.5348076136
277	0.5346487308
278	0.5344107046
279	0.5340087997
280	0.5337953071
281	0.5336115971
282	0.5335674111
283	0.5334406705
284	0.5334032282
285	0.5332865807
286	0.5331730613
287	0.5330712498
288	0.5329657473
289	0.532907772
290	0.5327750275
291	0.5326794531
292	0.5325464892
293	0.532410561
294	0.5321058475
295	0.5320964245
296	0.5320733579
297	0.5318927187
298	0.5318084911
299	0.5315461433
300	0.5311980673
301	0.5311736244
302	0.5311387474
303	0.5310048669
304	0.5307891962
305	0.5306713493
306	0.5303568726
307	0.5301712606
308	0.5299412243
309	0.5297107593
310	0.5295372164
311	0.529403765
312	0.5292401755
313	0.5290875273
314	0.5288416772
315	0.5286534746
316	0.5284806244
317	0.5281690245
318	0.52803028
319	0.5278290816
320	0.5276158138
321	0.5274535751
322	0.5273408093
323	0.5272314057
324	0.5271234132
325	0.52694225
326	0.526836239
327	0.5267313657
328	0.5265706961
329	0.5264503212
330	0.5262681029
331	0.5261244887
